행정동_코드_명,기준_년분기_코드,행정동_코드,집객시설_수,관공서_수,은행_수,종합병원_수,일반_병원_수,약국_수,유치원_수,초등학교_수,중학교_수,고등학교_수,대학교_수,백화점_수,슈퍼마켓_수,극장_수,숙박_시설_수,공항_수,철도_역_수,버스_터미널_수,지하철_역_수,버스_정거장_수
가양1동,20230,11500603,279,5,13,0,0,20,3,1,1,1,0,0,0,1,2,0,0,0,5,69
가양2동,20230,11500604,75,4,3,0,0,7,3,1,1,1,0,0,0,0,0,0,0,0,1,14
가양3동,20230,11500605,52,3,0,0,0,4,3,2,1,1,0,0,0,0,0,0,0,0,1,13
공항동,20230,11500620,176,6,7,1,0,11,1,2,2,0,4,0,0,0,0,21,0,0,2,39
등촌1동,20230,11500520,95,1,5,0,1,10,0,1,0,0,0,0,0,1,0,0,0,0,0,20
등촌2동,20230,11500530,58,3,0,0,1,6,2,2,2,2,0,0,0,0,0,0,0,0,0,8
등촌3동,20230,11500535,184,6,3,1,2,18,2,5,2,4,0,0,0,1,0,0,0,0,0,55
발산1동,20230,11500611,246,3,9,1,2,33,2,3,4,8,0,0,1,0,0,0,0,0,0,63
방화1동,20230,11500630,200,2,3,0,2,21,4,3,1,3,0,0,0,0,1,0,0,0,1,46
방화2동,20230,11500640,124,4,0,0,0,7,3,1,1,0,0,0,2,1,0,4,0,0,5,37
방화3동,20230,11500641,83,5,1,0,0,5,2,3,2,1,1,0,0,0,0,0,0,0,1,22
염창동,20230,11500510,147,5,3,0,1,15,0,2,2,0,0,0,0,0,0,0,0,0,2,35
우장산동,20230,11500615,158,4,4,0,3,12,3,2,0,0,5,0,0,0,0,0,0,0,1,33
화곡1동,20230,11500540,226,3,2,0,2,26,0,2,1,0,0,0,0,1,0,0,0,0,2,27
화곡2동,20230,11500550,65,2,0,0,0,3,2,1,0,0,0,0,0,0,0,0,0,0,0,30
화곡3동,20230,11500560,87,4,3,0,0,8,2,0,0,0,0,0,0,0,0,0,0,0,0,12
화곡4동,20230,11500570,101,4,2,0,0,14,3,1,0,2,0,0,0,0,0,0,0,0,0,30
화곡6동,20230,11500591,118,7,5,0,0,8,2,1,0,0,9,0,0,0,0,0,0,0,0,29
화곡8동,20230,11500593,95,2,3,0,0,8,1,0,0,0,0,0,0,0,0,0,0,0,1,33
화곡본동,20230,11500590,145,3,0,0,1,11,1,2,0,0,0,0,0,0,0,0,0,0,0,31
