기준_년분기_코드,행정동_코드,행정동_코드_명,집객시설_수,관공서_수,은행_수,종합병원_수,일반_병원_수,약국_수,유치원_수,초등학교_수,중학교_수,고등학교_수,대학교_수,백화점_수,슈퍼마켓_수,극장_수,숙박_시설_수,공항_수,철도_역_수,버스_터미널_수,지하철_역_수,버스_정거장_수
20233,11290650,정릉4동,133,7,3,,,12,2,1,,2,11,,,,,,,,1,40
20233,11110515,청운효자동,93,6,3,,,4,1,1,2,2,8,,,,,,,,,26
20231,11200720,송정동,44,2,,,1,5,,1,,,,,,,,,,,,17
20231,11260550,면목5동,42,2,1,,,3,,,,,,,4,,,,,,,13
20233,11110530,사직동,206,18,24,,,15,,1,,1,1,,,3,,,,,2,34
20231,11440690,망원1동,95,2,2,,,11,,,,,,,,,1,,,,,23
20233,11110540,삼청동,49,10,4,,1,1,,,1,1,2,,,,,,,,,16
20233,11110550,부암동,84,4,2,,,1,1,2,1,1,14,,,,,,,,,38
20233,11110560,평창동,162,6,2,,1,5,1,,,1,2,,,,,,,,,91
20233,11110570,무악동,42,2,1,1,,4,1,1,,,,,,,,,,,1,7
20233,11110580,교남동,78,4,3,2,,17,,,,1,1,,,,,,,,,26
20233,11110600,가회동,63,5,3,,,1,1,1,1,2,1,,,,,,,,,22
20233,11110615,종로1?2?3?4가동,500,19,35,,,47,1,2,,,4,,1,5,17,,,,5,72
20233,11110630,종로5?6가동,212,7,8,,,31,,1,,,1,,4,,3,,,,1,23
20233,11110640,이화동,119,4,4,1,,11,,,2,,37,,,,,,,,1,28
20233,11110650,혜화동,145,6,5,,,16,3,1,1,4,26,,,1,,,,,,36
20233,11110670,창신1동,111,3,4,,,9,,2,,,,,1,,7,,,,2,11
20233,11110680,창신2동,38,2,1,,,5,,,,,,,,,,,,,,
20233,11110690,창신3동,24,3,,,,1,,1,,1,,,,,,,,,1,5
20233,11110700,숭인1동,43,3,1,,,3,1,,,,,,,,,,,,,14
20231,11110710,숭인2동,89,4,3,,1,4,,,,,,,2,,3,,,,2,6
20232,11110710,숭인2동,89,4,3,,1,4,,,,,,,2,,3,,,,2,6
20231,11110515,청운효자동,93,6,3,,,4,1,1,2,2,8,,,,,,,,,26
20232,11110515,청운효자동,93,6,3,,,4,1,1,2,2,8,,,,,,,,,26
20232,11110530,사직동,206,18,24,,,15,,1,,1,1,,,3,,,,,2,34
20231,11110540,삼청동,49,10,4,,1,1,,,1,1,2,,,,,,,,,16
20232,11110540,삼청동,49,10,4,,1,1,,,1,1,2,,,,,,,,,16
20231,11110550,부암동,84,4,2,,,1,1,2,1,1,14,,,,,,,,,38
20232,11110550,부암동,84,4,2,,,1,1,2,1,1,14,,,,,,,,,38
20231,11110560,평창동,162,6,2,,1,5,1,,,1,2,,,,,,,,,91
20232,11110560,평창동,162,6,2,,1,5,1,,,1,2,,,,,,,,,91
20231,11110570,무악동,42,2,1,1,,4,1,1,,,,,,,,,,,1,7
20232,11110570,무악동,42,2,1,1,,4,1,1,,,,,,,,,,,1,7
20231,11110580,교남동,78,4,3,2,,17,,,,1,1,,,,,,,,,26
20232,11110580,교남동,78,4,3,2,,17,,,,1,1,,,,,,,,,26
20231,11110600,가회동,63,5,3,,,1,1,1,1,2,1,,,,,,,,,22
20232,11110600,가회동,63,5,3,,,1,1,1,1,2,1,,,,,,,,,22
20231,11110615,종로1?2?3?4가동,500,19,35,,,47,1,2,,,4,,1,5,17,,,,5,72
20232,11110615,종로1?2?3?4가동,500,19,35,,,47,1,2,,,4,,1,5,17,,,,5,72
20231,11110630,종로5?6가동,212,7,8,,,31,,1,,,1,,4,,3,,,,1,23
20232,11110630,종로5?6가동,212,7,8,,,31,,1,,,1,,4,,3,,,,1,23
20231,11110640,이화동,119,4,4,1,,11,,,2,,37,,,,,,,,1,28
