행정동코드,행정동,유동인구,생활인구수 연평균,유동인구_rank,생활인구_rank
11500615,우장산동,6451527.0,35175.90902258065,7.0,5.0
11500540,화곡1동,16605999.5,46974.92992876343,1.0,2.0
11500641,방화3동,2937962.0,14896.397609274194,18.0,18.0
11500640,방화2동,4688612.25,28407.813481989255,12.0,10.0
11500630,방화1동,7482354.0,35018.072341397856,5.0,6.0
11500620,공항동,5450110.25,35932.16109018818,9.0,4.0
11500611,발산1동,5607830.25,33127.416565591404,8.0,8.0
11500605,가양3동,1750336.75,12432.229831182796,20.0,20.0
11500604,가양2동,2066472.5,15054.997498655915,19.0,16.0
11500603,가양1동,3530408.5,47835.795574731186,16.0,1.0
11500593,화곡8동,7940277.5,33150.311397043006,4.0,7.0
11500591,화곡6동,5181309.25,21251.787476478494,11.0,13.0
11500570,화곡4동,4631422.5,17766.350355779574,13.0,15.0
11500560,화곡3동,3651163.5,18469.054595967747,15.0,14.0
11500550,화곡2동,3257080.0,13203.60306760753,17.0,19.0
11500590,화곡본동,8358331.25,27025.819096370953,2.0,11.0
11500535,등촌3동,6836207.5,39677.61132083333,6.0,3.0
11500530,등촌2동,3882246.25,14954.202311693547,14.0,17.0
11500520,등촌1동,5242495.75,22042.037898521514,10.0,12.0
11500510,염창동,8305850.5,29629.896221908606,3.0,9.0
